加利尔 AR（纪念品） | 地狱看门犬=Souvenir Galil AR | Cerberus
M249（纪念品） | 鳄鱼网格=Souvenir M249 | Gator Mesh
沙漠之鹰 | 大佬龙=Desert Eagle | Kumicho Dragon
蝴蝶刀（★） | 外表生锈=★ Butterfly Knife | Rust Coat
折叠刀（★） | 外表生锈=★ Flip Knife | Rust Coat
穿肠刀（★） | 森林 DDPAT=★ Gut Knife | Forest DDPAT
格洛克 18 型（纪念品） | 核子反应=Souvenir Glock-18 | Reactor
FN57 | 三位—体=Five-SeveN | Triumvirate
Tec-9 | 狂哮飓风=Tec-9 | Tornado
截短霰弹枪（StatTrak™） | 千纸鹤=StatTrak™ Sawed-Off | Origami
MAG-7（StatTrak™） | SWAG-7=StatTrak™ MAG-7 | SWAG-7
双持贝瑞塔（纪念品） | 钴蓝石英=Souvenir Dual Berettas | Cobalt Quartz
R8 左轮手枪（纪念品） | 氮化处理=Souvenir R8 Revolver | Nitro
M4A1 消音型 | 骑士=M4A1-S | Knight
沙漠之鹰 | 阴谋者=Desert Eagle | Conspiracy
UMP-45（StatTrak™） | 暴乱=StatTrak™ UMP-45 | Riot
截短霰弹枪 | 逮捕者=Sawed-Off | Full Stop
折叠刀（★ StatTrak™） | 多普勒=★ StatTrak™ Flip Knife | Doppler
折叠刀（★） | 人工染色=★ Flip Knife | Stained
短剑（★） | 枯焦之色=★ Stiletto Knife | Scorched
截短霰弹枪 | 祥和之翼=Sawed-Off | Serenity
AK-47（StatTrak™） | 卡特尔=StatTrak™ AK-47 | Cartel
AUG（纪念品） | 殖民侵略者=Souvenir AUG | Colony
XM1014 | 特克卢喷射者=XM1014 | Teclu Burner
沙漠之鹰（纪念品） | 手上加农炮=Souvenir Desert Eagle | Hand Cannon
UMP-45 | 暴乱=UMP-45 | Riot
鲍伊猎刀（★） | 渐变之色=★ Bowie Knife | Fade
SCAR-20 | 血腥运动=SCAR-20 | Bloodsport
蝴蝶刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Butterfly Knife | Blue Steel
猎杀者匕首（★ StatTrak™） | 外表生锈=★ StatTrak™ Huntsman Knife | Rust Coat
G3SG1（StatTrak™） | 弗卢克斯=StatTrak™ G3SG1 | Flux
M4A4（StatTrak™） | 战场之星=StatTrak™ M4A4 | The Battlestar
短剑（★ StatTrak™） | 人工染色=★ StatTrak™ Stiletto Knife | Stained
M4A4 | 咆哮=M4A4 | Howl
M4A1 消音型 | 闪回=M4A1-S | Flashback
FN57（StatTrak™） | 夜影=StatTrak™ Five-SeveN | Nightshade
XM1014 | 滑流=XM1014 | Slipstream
新星（StatTrak™） | 游侠=StatTrak™ Nova | Ranger
USP 消音版（StatTrak™） | 血清=StatTrak™ USP-S | Serum
MP9（StatTrak™） | 黑砂=StatTrak™ MP9 | Black Sand
USP 消音版（StatTrak™） | 黑水=StatTrak™ USP-S | Dark Water
格洛克 18 型 | 暮光星系=Glock-18 | Twilight Galaxy
加利尔 AR（纪念品） | 冰核聚变=Souvenir Galil AR | Cold Fusion
爪子刀（★） | 狩猎网格=★ Karambit | Safari Mesh
G3SG1 | 毒刺=G3SG1 | Stinger
内格夫（StatTrak™） | *哒哒哒*=StatTrak™ Negev | Bratatat
MP9（StatTrak™） | 生化泄漏=StatTrak™ MP9 | Bioleak
Tec-9 | 地下水=Tec-9 | Groundwater
MAG-7 | 反梗精英=MAG-7 | Counter Terrace
短剑（★ StatTrak™） | 虎牙=★ StatTrak™ Stiletto Knife | Tiger Tooth
XM1014 | 红色皮革=XM1014 | Red Leather
双持贝瑞塔（纪念品） | 人工染色=Souvenir Dual Berettas | Stained
专业手套（★） | 狩鹿=★ Specialist Gloves | Buckshot
SG 553 | 浪花穿孔=SG 553 | Waves Perforated
MAC-10 | 霓虹骑士=MAC-10 | Neon Rider
弯刀（★） | 表面淬火=★ Falchion Knife | Case Hardened
UMP-45（StatTrak™） | 城里的月光=StatTrak™ UMP-45 | Moonrise
M9 刺刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ M9 Bayonet | Night
爪子刀（★ StatTrak™） | 北方森林=★ StatTrak™ Karambit | Boreal Forest
P90 | 三角=P90 | Trigon
穿肠刀（★） | 多普勒=★ Gut Knife | Doppler
鲍伊猎刀（★） | 深红之网=★ Bowie Knife | Crimson Web
MAC-10 | 核子花园=MAC-10 | Nuclear Garden
短剑（★） | 表面淬火=★ Stiletto Knife | Case Hardened
MAC-10（纪念品） | 小牛皮=Souvenir MAC-10 | Calf Skin
AK-47 | 燃料喷射器=AK-47 | Fuel Injector
穿肠刀（★） | 传说=★ Gut Knife | Lore
猎杀者匕首（★ StatTrak™） | 北方森林=★ StatTrak™ Huntsman Knife | Boreal Forest
蝴蝶刀（★） | 虎牙=★ Butterfly Knife | Tiger Tooth
MAC-10（StatTrak™） | 绝界之行=StatTrak™ MAC-10 | Last Dive
猎杀者匕首（★ StatTrak™） | 都市伪装=★ StatTrak™ Huntsman Knife | Urban Masked
驾驶手套（★） | 护卫=★ Driver Gloves | Convoy
MP7 | 复仇者=MP7 | Nemesis
鲍伊猎刀（★） | 大马士革钢=★ Bowie Knife | Damascus Steel
刺刀（★ StatTrak™） | 传说=★ StatTrak™ Bayonet | Lore
刺刀（★） | 北方森林=★ Bayonet | Boreal Forest
PP-野牛 | 古董枪=PP-Bizon | Antique
锯齿爪刀（★） | 枯焦之色=★ Talon Knife | Scorched
加利尔 AR | 橙黄 DDPAT=Galil AR | Orange DDPAT
沙漠之鹰 | 午夜风暴=Desert Eagle | Midnight Storm
刺刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Bayonet | Ultraviolet
M9 刺刀（★） | 屠夫=★ M9 Bayonet | Slaughter
法玛斯（StatTrak™） | 保护色=StatTrak™ FAMAS | Crypsis
MAG-7 | 辐照警报=MAG-7 | Irradiated Alert
法玛斯（StatTrak™） | 灯神=StatTrak™ FAMAS | Djinn
折刀（★） | 表面淬火=★ Navaja Knife | Case Hardened
Tec-9（StatTrak™） | 青竹伪装=StatTrak™ Tec-9 | Bamboozle
Tec-9（StatTrak™） | 沙尘暴=StatTrak™ Tec-9 | Sandstorm
UMP-45 | 紫青之色=UMP-45 | Indigo
MAC-10 | 狂哮飓风=MAC-10 | Tornado
M4A4 | 龙王=M4A4 | 龍王
PP-野牛 | 现代猎手=PP-Bizon | Modern Hunter
锯齿爪刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Talon Knife | Scorched
SSG 08 | 黑水=SSG 08 | Dark Water
SCAR-20（StatTrak™） | 绿色陆战队=StatTrak™ SCAR-20 | Green Marine
USP 消音版 | 森林之叶=USP-S | Forest Leaves
摩托手套（★） | 玳瑁=★ Moto Gloves | Turtle
P250 | 核子污染=P250 | Contamination
刺刀（★） | 噩梦之夜=★ Bayonet | Night
MAG-7（StatTrak™） | 天空守卫=StatTrak™ MAG-7 | Heaven Guard
MAG-7 | 核芯破裂=MAG-7 | Core Breach
穿肠刀（★） | 狩猎网格=★ Gut Knife | Safari Mesh
PP-野牛（纪念品） | 午夜行动=Souvenir PP-Bizon | Night Ops
M4A1 消音型 | 氮化处理=M4A1-S | Nitro
M4A1 消音型 | 暴怒野兽=M4A1-S | Hyper Beast
鲍伊猎刀（★） | 狩猎网格=★ Bowie Knife | Safari Mesh
新星 | 红苹果=Nova | Candy Apple
AK-47（纪念品） | 狩猎网格=Souvenir AK-47 | Safari Mesh
爪子刀（★） | 枯焦之色=★ Karambit | Scorched
R8 左轮手枪（StatTrak™） | 重新启动=StatTrak™ R8 Revolver | Reboot
XM1014（StatTrak™） | 五彩斑驳=StatTrak™ XM1014 | Ziggy
UMP-45 | 城里的月光=UMP-45 | Moonrise
G3SG1（纪念品） | 丛林虚线=Souvenir G3SG1 | Jungle Dashed
AWP | 红线=AWP | Redline
爪子刀（★） | 外表生锈=★ Karambit | Rust Coat
格洛克 18 型 | 幻影冥魂=Glock-18 | Wraiths
USP 消音版 | 蓝图=USP-S | Blueprint
MP9 | 干旱季节=MP9 | Dry Season
折叠刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Flip Knife | Urban Masked
G3SG1 | 公海=G3SG1 | High Seas
暗影双匕（★） | 森林 DDPAT=★ Shadow Daggers | Forest DDPAT
熊刀（★） | 表面淬火=★ Ursus Knife | Case Hardened
新星 | 森林之叶=Nova | Forest Leaves
MAC-10（StatTrak™） | 霓虹骑士=StatTrak™ MAC-10 | Neon Rider
爪子刀（★） | 屠夫=★ Karambit | Slaughter
P90 | 沙漠战争=P90 | Desert Warfare
FN57 | 怒氓=Five-SeveN | Angry Mob
法玛斯 | 中士=FAMAS | Sergeant
FN57 | 霸意大名=Five-SeveN | Violent Daimyo
折叠刀（★） | 深红之网=★ Flip Knife | Crimson Web
USP 消音版 | 脑洞大开=USP-S | Cortex
格洛克 18 型 | 沙丘之黄=Glock-18 | Sand Dune
M9 刺刀（★） | 北方森林=★ M9 Bayonet | Boreal Forest
加利尔 AR | 火线冲锋=Galil AR | Firefight
AWP（StatTrak™） | 二西莫夫=StatTrak™ AWP | Asiimov
锯齿爪刀（★） | 森林 DDPAT=★ Talon Knife | Forest DDPAT
MP9 | 威吓者=MP9 | Bulldozer
爪子刀（★） | 都市伪装=★ Karambit | Urban Masked
截短霰弹枪 | 森林 DDPAT=Sawed-Off | Forest DDPAT
USP 消音版（StatTrak™） | 闪回=StatTrak™ USP-S | Flashback
暗影双匕（★） | 北方森林=★ Shadow Daggers | Boreal Forest
截短霰弹枪 | 橙黄 DDPAT=Sawed-Off | Orange DDPAT
运动手套（★） | 干旱=★ Sport Gloves | Arid
USP 消音版 | 黑水=USP-S | Dark Water
AK-47（StatTrak™） | 二西莫夫=StatTrak™ AK-47 | Asiimov
P250（StatTrak™） | 死亡轮回=StatTrak™ P250 | Muertos
P90（纪念品） | 沙漠涂装=Souvenir P90 | Sand Spray
法玛斯 | 对比涂装=FAMAS | Contrast Spray
新星 | 绿苹果=Nova | Green Apple
内格夫 | 核子废渣=Negev | Nuclear Waste
P90 | 设施系列·底片图=P90 | Facility Negative
M249（StatTrak™） | 岩浆=StatTrak™ M249 | Magma
加利尔 AR（StatTrak™） | 「经济」克鲁尔=StatTrak™ Galil AR | Eco
AUG（纪念品） | 随机存取=Souvenir AUG | Random Access
FN57（StatTrak™） | 焰色反应=StatTrak™ Five-SeveN | Flame Test
SCAR-20（纪念品） | 碳素纤维=Souvenir SCAR-20 | Carbon Fiber
SCAR-20 | 次时代=SCAR-20 | Cyrex
G3SG1 | 狩猎网格=G3SG1 | Safari Mesh
加利尔 AR | 火箭冰棒=Galil AR | Rocket Pop
FN57 | 表面淬火=Five-SeveN | Case Hardened
M4A4 | X 光=M4A4 | X-Ray
锯齿爪刀（★ StatTrak™） | 深红之网=★ StatTrak™ Talon Knife | Crimson Web
双持贝瑞塔 | 碎片=Dual Berettas | Shred
M4A4 | 狮鹫=M4A4 | Griffin
AK-47 | 至高皮革=AK-47 | First Class
MAC-10（StatTrak™） | 致命紫罗兰=StatTrak™ MAC-10 | Ultraviolet
MP9 | 黑暗时代=MP9 | Dark Age
沙漠之鹰 | 指挥=Desert Eagle | Directive
SSG 08 | 鬼脸天蛾=SSG 08 | Death's Head
暗影双匕（★ StatTrak™） | 狩猎网格=★ StatTrak™ Shadow Daggers | Safari Mesh
M4A1 消音型（StatTrak™） | 梦魇=StatTrak™ M4A1-S | Nightmare
法玛斯 | 灯神=FAMAS | Djinn
弯刀（★） | 人工染色=★ Falchion Knife | Stained
AUG（StatTrak™） | 席德.米德=StatTrak™ AUG | Syd Mead
驾驶手套（★） | 王蛇=★ Driver Gloves | King Snake
蝴蝶刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Butterfly Knife | Case Hardened
AWP | 蝮蛇迷彩=AWP | Snake Camo
Tec-9 | 冰冠=Tec-9 | Ice Cap
沙漠之鹰 | 深红之网=Desert Eagle | Crimson Web
MAC-10 | 阿罗哈=MAC-10 | Aloha
CZ75 自动手枪（StatTrak™） | 梅红时刻=StatTrak™ CZ75-Auto | The Fuschia Is Now
法玛斯（StatTrak™） | 电子脉冲=StatTrak™ FAMAS | Pulse
锯齿爪刀（★ StatTrak™） | 夜色=★ StatTrak™ Talon Knife | Night Stripe
M4A1 消音型（StatTrak™） | 守护者=StatTrak™ M4A1-S | Guardian
熊刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Ursus Knife | Case Hardened
PP-野牛（StatTrak™） | 透光区=StatTrak™ PP-Bizon | Photic Zone
刺刀（★） | 自动化=★ Bayonet | Autotronic
格洛克 18 型（StatTrak™） | 皇家军团=StatTrak™ Glock-18 | Royal Legion
SCAR-20 | 绿色陆战队=SCAR-20 | Green Marine
MP9 | 红宝石毒镖=MP9 | Ruby Poison Dart
AK-47 | 混沌点阵=AK-47 | Point Disarray
M4A4 | 死寂空间=M4A4 | Desolate Space
CZ75 自动手枪（StatTrak™） | 相柳=StatTrak™ CZ75-Auto | Xiangliu
MAG-7 | 沙丘之黄=MAG-7 | Sand Dune
P250（纪念品） | 葡萄酒=Souvenir P250 | Vino Primo
M249 | 海滨预测者=M249 | Shipping Forecast
AWP（StatTrak™） | 树蝰=StatTrak™ AWP | Atheris
CZ75 自动手枪 | 螺形扭转=CZ75-Auto | Twist
折叠刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Flip Knife | Night
沙漠之鹰（StatTrak™） | 深红之网=StatTrak™ Desert Eagle | Crimson Web
CZ75 自动手枪（StatTrak™） | 红鹰=StatTrak™ CZ75-Auto | Red Astor
爪子刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Karambit | Damascus Steel
折叠刀（★ StatTrak™） | 自动化=★ StatTrak™ Flip Knife | Autotronic
新星 | 捕食者=Nova | Predator
折叠刀（★） | 渐变大理石=★ Flip Knife | Marble Fade
FN57 | 热火朝天=Five-SeveN | Hot Shot
P2000 | 坚毅大理石纹=P2000 | Granite Marbleized
P2000 | 渐变琥珀=P2000 | Amber Fade
爪子刀（★ StatTrak™） | 自动化=★ StatTrak™ Karambit | Autotronic
猎杀者匕首（★） | 致命紫罗兰=★ Huntsman Knife | Ultraviolet
双持贝瑞塔 | 天秤之月=Dual Berettas | Moon in Libra
P250 | 曼海蒂=P250 | Mehndi
折叠刀（★ StatTrak™） | 传说=★ StatTrak™ Flip Knife | Lore
摩托手套（★） | 嘭！=★ Moto Gloves | POW!
爪子刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Karambit | Urban Masked
M4A1 消音型（StatTrak™） | 次时代=StatTrak™ M4A1-S | Cyrex
鲍伊猎刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Bowie Knife | Fade
MAC-10（StatTrak™） | 诅咒=StatTrak™ MAC-10 | Curse
爪子刀（★） | 黑色层压板=★ Karambit | Black Laminate
P90（StatTrak™） | 夺命器=StatTrak™ P90 | Chopper
M249 | 丛林 DDPAT=M249 | Jungle DDPAT
沙漠之鹰（StatTrak™） | 机械工业=StatTrak™ Desert Eagle | Mecha Industries
穿肠刀（★） | 虎牙=★ Gut Knife | Tiger Tooth
新星（StatTrak™） | 兴风作浪=StatTrak™ Nova | Tempest
内格夫（StatTrak™） | 动力装载机=StatTrak™ Negev | Power Loader
新星（StatTrak™） | 毒蜥=StatTrak™ Nova | Gila
鲍伊猎刀（★） | 人工染色=★ Bowie Knife | Stained
AK-47（StatTrak™） | 美洲猛虎=StatTrak™ AK-47 | Jaguar
沙漠之鹰（纪念品） | 泥地杀手=Souvenir Desert Eagle | Mudder
折叠刀（★） | 黑色层压板=★ Flip Knife | Black Laminate
R8 左轮手枪 | 骸骨外罩=R8 Revolver | Bone Mask
XM1014（StatTrak™） | 宁静=StatTrak™ XM1014 | Tranquility
MP9 | 砂垢=MP9 | Sand Scale
M4A1 消音型（StatTrak™） | 金蛇缠绕=StatTrak™ M4A1-S | Golden Coil
CZ75 自动手枪 | 复古圣杯=CZ75-Auto | Chalice
SSG 08 | 幽灵战士=SSG 08 | Ghost Crusader
AWP | 珊瑚树=AWP | Corticera
M9 刺刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ M9 Bayonet | Ultraviolet
M4A4 | 主机=M4A4 | Mainframe
MP7 | 星点=MP7 | Asterion
MP5-SD（纪念品） | 越野=Souvenir MP5-SD | Dirt Drop
蝴蝶刀（★） | 多普勒=★ Butterfly Knife | Doppler
XM1014 | 都市穿孔=XM1014 | Urban Perforated
爪子刀（★ StatTrak™） | 虎牙=★ StatTrak™ Karambit | Tiger Tooth
截短霰弹枪（StatTrak™） | 弄臣之颅=StatTrak™ Sawed-Off | Yorick
专业手套（★） | 渐变之色=★ Specialist Gloves | Fade
沙漠之鹰 | 红色代号=Desert Eagle | Code Red
穿肠刀（★ StatTrak™） | 自由之手=★ StatTrak™ Gut Knife | Freehand
MP9（纪念品） | 暴风呼啸=Souvenir MP9 | Storm
USP 消音版 | 黑色魅影=USP-S | Neo-Noir
P250 | 生化短吻鳄=P250 | See Ya Later
暗影双匕（★） | 人工染色=★ Shadow Daggers | Stained
刺刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Bayonet | Blue Steel
P250（纪念品） | 北方森林=Souvenir P250 | Boreal Forest
AK-47（StatTrak™） | 红色层压板=StatTrak™ AK-47 | Red Laminate
R8 左轮手枪（StatTrak™） | 稳=StatTrak™ R8 Revolver | Grip
M4A1 消音型（StatTrak™） | 澄澈之水=StatTrak™ M4A1-S | Bright Water
MP7（StatTrak™） | 非洲部落=StatTrak™ MP7 | Akoben
P90（StatTrak™） | 翡翠之龙=StatTrak™ P90 | Emerald Dragon
UMP-45（StatTrak™） | 简报=StatTrak™ UMP-45 | Briefing
格洛克 18 型（StatTrak™） | 黑龙纹身=StatTrak™ Glock-18 | Dragon Tattoo
弯刀（★） | 北方森林=★ Falchion Knife | Boreal Forest
USP 消音版 | 铅管=USP-S | Lead Conduit
P90 | 冰川网格=P90 | Glacier Mesh
UMP-45 | 设施系列·深色图=UMP-45 | Facility Dark
折叠刀（★） | 渐变之色=★ Flip Knife | Fade
沙漠之鹰 | 陨星=Desert Eagle | Meteorite
沙漠之鹰 | 飞行员=Desert Eagle | Pilot
九头蛇手套（★） | 红树林=★ Hydra Gloves | Mangrove
P90 | 病毒危机=P90 | Virus
熊刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Ursus Knife | Urban Masked
折叠刀（★） | 自由之手=★ Flip Knife | Freehand
弯刀（★） | 渐变之色=★ Falchion Knife | Fade
双持贝瑞塔（StatTrak™） | 龙之双子=StatTrak™ Dual Berettas | Dualing Dragons
SCAR-20 | 深红之网=SCAR-20 | Crimson Web
MP9（纪念品） | 赤红新星=Souvenir MP9 | Hot Rod
短剑（★） | 渐变之色=★ Stiletto Knife | Fade
SSG 08（StatTrak™） | 水中之血=StatTrak™ SSG 08 | Blood in the Water
刺刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Bayonet | Marble Fade
AWP（StatTrak™） | 精英之作=StatTrak™ AWP | Elite Build
弯刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Falchion Knife | Night
弯刀（★） | 深红之网=★ Falchion Knife | Crimson Web
沙漠之鹰（纪念品） | 都市瓦砾=Souvenir Desert Eagle | Urban Rubble
折叠刀（★） | 自动化=★ Flip Knife | Autotronic
UMP-45（StatTrak™） | 下士=StatTrak™ UMP-45 | Corporal
折叠刀（★） | 蓝钢=★ Flip Knife | Blue Steel
法玛斯（StatTrak™） | 神经网=StatTrak™ FAMAS | Neural Net
短剑（★） | 蓝钢=★ Stiletto Knife | Blue Steel
新星 | 石墨黑=Nova | Graphite
刺刀（★） | 大马士革钢=★ Bayonet | Damascus Steel
AUG（StatTrak™） | 变色龙=StatTrak™ AUG | Chameleon
折叠刀（★） | 屠夫=★ Flip Knife | Slaughter
裹手（★） | 森林色调=★ Hand Wraps | Arboreal
P90 | 死亡之握=P90 | Death Grip
熊刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Ursus Knife | Fade
Tec-9（纪念品） | 核子剧毒=Souvenir Tec-9 | Toxic
Tec-9 | 战火重燃=Tec-9 | Re-Entry
截短霰弹枪 | 夜百合=Sawed-Off | Morris
猎杀者匕首（★ StatTrak™） | 屠夫=★ StatTrak™ Huntsman Knife | Slaughter
锯齿爪刀（★） | 致命紫罗兰=★ Talon Knife | Ultraviolet
M4A1 消音型 | 北方森林=M4A1-S | Boreal Forest
SG 553（StatTrak™） | 浪花喷漆=StatTrak™ SG 553 | Wave Spray
P2000 | 至尊威龙=P2000 | Imperial Dragon
P250（纪念品） | 金属 DDPAT=Souvenir P250 | Metallic DDPAT
M4A4（StatTrak™） | 皇家圣骑士=StatTrak™ M4A4 | Royal Paladin
暗影双匕（★ StatTrak™） | 虎牙=★ StatTrak™ Shadow Daggers | Tiger Tooth
折刀（★） | 深红之网=★ Navaja Knife | Crimson Web
P90 | 沙漠涂装=P90 | Sand Spray
SCAR-20 | 蓝洞=SCAR-20 | Grotto
MAG-7（StatTrak™） | 声纳=StatTrak™ MAG-7 | Sonar
P250 | 北方森林=P250 | Boreal Forest
MAC-10 | 棕榈色=MAC-10 | Palm
穿肠刀（★） | 大马士革钢=★ Gut Knife | Damascus Steel
AK-47 | 表面淬火=AK-47 | Case Hardened
P90（StatTrak™） | 冷血无情=StatTrak™ P90 | Grim
折叠刀（★ StatTrak™） | 黑色层压板=★ StatTrak™ Flip Knife | Black Laminate
短剑（★） | 都市伪装=★ Stiletto Knife | Urban Masked
加利尔 AR（StatTrak™） | 黑砂=StatTrak™ Galil AR | Black Sand
AK-47（StatTrak™） | 精英之作=StatTrak™ AK-47 | Elite Build
AK-47（StatTrak™） | 混沌点阵=StatTrak™ AK-47 | Point Disarray
MAC-10（StatTrak™） | 白鲑鱼=StatTrak™ MAC-10 | Whitefish
蝴蝶刀（★） | 大马士革钢=★ Butterfly Knife | Damascus Steel
AWP（纪念品） | 狩猎网格=Souvenir AWP | Safari Mesh
M4A4 | 变频器=M4A4 | Converter
MP7 | 逮捕者=MP7 | Full Stop
猎杀者匕首（★ StatTrak™） | 表面淬火=★ StatTrak™ Huntsman Knife | Case Hardened
沙漠之鹰（StatTrak™） | 黄金锦鲤=StatTrak™ Desert Eagle | Golden Koi
M9 刺刀（★） | 枯焦之色=★ M9 Bayonet | Scorched
双持贝瑞塔 | 龙之双子=Dual Berettas | Dualing Dragons
刺刀（★） | 虎牙=★ Bayonet | Tiger Tooth
UMP-45 | 硝烟=UMP-45 | Gunsmoke
P250 | 卡特尔=P250 | Cartel
折叠刀（★） | 传说=★ Flip Knife | Lore
UMP-45 | 动量=UMP-45 | Momentum
AK-47 | 血腥运动=AK-47 | Bloodsport
AK-47（StatTrak™） | 火蛇=StatTrak™ AK-47 | Fire Serpent
MAC-10 | 紫青之色=MAC-10 | Indigo
M249 | 鳄鱼网格=M249 | Gator Mesh
爪子刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Karambit | Blue Steel
蝴蝶刀（★） | 森林 DDPAT=★ Butterfly Knife | Forest DDPAT
双持贝瑞塔（纪念品） | 雇佣兵=Souvenir Dual Berettas | Contractor
M4A4 | 都市 DDPAT=M4A4 | Urban DDPAT
格洛克 18 型 | 水灵=Glock-18 | Water Elemental
M9 刺刀（★ StatTrak™） | 澄澈之水=★ StatTrak™ M9 Bayonet | Bright Water
MP5-SD | 磷光体=MP5-SD | Phosphor
暗影双匕（★ StatTrak™） | 枯焦之色=★ StatTrak™ Shadow Daggers | Scorched
FN57（StatTrak™） | 神祗=StatTrak™ Five-SeveN | Kami
P2000 | 红色碎片迷彩=P2000 | Red FragCam
XM1014 | 四季=XM1014 | Seasons
P2000（纪念品） | 渐变琥珀=Souvenir P2000 | Amber Fade
AUG（StatTrak™） | 孟加拉猛虎=StatTrak™ AUG | Bengal Tiger
G3SG1 | 碧蓝斑纹=G3SG1 | Azure Zebra
猎杀者匕首（★） | 都市伪装=★ Huntsman Knife | Urban Masked
短剑（★ StatTrak™） | 屠夫=★ StatTrak™ Stiletto Knife | Slaughter
G3SG1（StatTrak™） | 丰饶女神=StatTrak™ G3SG1 | Demeter
Tec-9（纪念品） | 黄铜=Souvenir Tec-9 | Brass
PP-野牛（纪念品） | 红苹果=Souvenir PP-Bizon | Candy Apple
蝴蝶刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Butterfly Knife | Scorched
FN57（StatTrak™） | 狩猎利器=StatTrak™ Five-SeveN | Fowl Play
M4A1 消音型 | 毁灭者 2000=M4A1-S | Decimator
AWP（StatTrak™） | 猫猫狗狗=StatTrak™ AWP | PAW
MAG-7（StatTrak™） | 硬水=StatTrak™ MAG-7 | Hard Water
双持贝瑞塔 | 钴蓝石英=Dual Berettas | Cobalt Quartz
M9 刺刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ M9 Bayonet | Damascus Steel
UMP-45（StatTrak™） | 车王=StatTrak™ UMP-45 | Grand Prix
M4A4（纪念品） | 主机=Souvenir M4A4 | Mainframe
刺刀（★ StatTrak™） | 深红之网=★ StatTrak™ Bayonet | Crimson Web
爪子刀（★） | 深红之网=★ Karambit | Crimson Web
P250（纪念品） | 核子威慑=Souvenir P250 | Nuclear Threat
M9 刺刀（★ StatTrak™） | 外表生锈=★ StatTrak™ M9 Bayonet | Rust Coat
加利尔 AR（StatTrak™） | 深红海啸=StatTrak™ Galil AR | Crimson Tsunami
格洛克 18 型 | 钢铁禁锢=Glock-18 | Steel Disruption
格洛克 18 型（StatTrak™） | 水灵=StatTrak™ Glock-18 | Water Elemental
加利尔 AR（StatTrak™） | 喧闹骷髅=StatTrak™ Galil AR | Chatterbox
折叠刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Flip Knife | Case Hardened
SSG 08（纪念品） | 手刹=Souvenir SSG 08 | Hand Brake
蝴蝶刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Butterfly Knife | Urban Masked
FN57 | 橘皮涂装=Five-SeveN | Orange Peel
弯刀（★） | 渐变大理石=★ Falchion Knife | Marble Fade
MP7（纪念品） | 渐变之色=Souvenir MP7 | Fade
PP-野牛 | 水蓝条纹=PP-Bizon | Blue Streak
M249 | 冲击钻=M249 | Impact Drill
穿肠刀（★） | 自由之手=★ Gut Knife | Freehand
加利尔 AR（StatTrak™） | 战吼斑纹=StatTrak™ Galil AR | Akoben
短剑（★） | 北方森林=★ Stiletto Knife | Boreal Forest
MAC-10 | 小牛皮=MAC-10 | Calf Skin
AWP | 电子蜂巢=AWP | Electric Hive
刺刀（★） | 蓝钢=★ Bayonet | Blue Steel
新星 | 狂野六号=Nova | Wild Six
P90（StatTrak™） | 二西莫夫=StatTrak™ P90 | Asiimov
折叠刀（★） | 狩猎网格=★ Flip Knife | Safari Mesh
M249 | 系统锁定=M249 | System Lock
MP9 | 致命毒药=MP9 | Deadly Poison
M9 刺刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ M9 Bayonet | Safari Mesh
刺刀（★ StatTrak™） | 屠夫=★ StatTrak™ Bayonet | Slaughter
双持贝瑞塔 | 海斗士=Dual Berettas | Marina
沙漠之鹰 | 噩梦之夜=Desert Eagle | Night
短剑（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Stiletto Knife | Forest DDPAT
双持贝瑞塔（纪念品） | 蔷薇=Souvenir Dual Berettas | Briar
蝴蝶刀（★） | 深红之网=★ Butterfly Knife | Crimson Web
SCAR-20 | 军队之辉=SCAR-20 | Army Sheen
双持贝瑞塔（纪念品） | 殖民侵略者=Souvenir Dual Berettas | Colony
PP-野牛 | 辐照警报=PP-Bizon | Irradiated Alert
AK-47（StatTrak™） | 霓虹骑士=StatTrak™ AK-47 | Neon Rider
鲍伊猎刀（★ StatTrak™） | 深红之网=★ StatTrak™ Bowie Knife | Crimson Web
